0,1,2,3,4,5,6
264300,111900,132700,514600,294800,107600,584400
-28500,-2600,82725,-69400,7400,101100,256600
-35100,5000,1100,2800,0,200,-50000
-176300,-64000,112400,-500,-3900,-50400,-23200
58900,-3100,32400,5500,21200,39000,24900
6500,-4200,-27700,-29000,-2000,-26700,300
6413,8000,-2700,-5937,-1500,10200,-2900
7600,-20800,26600,800,54800,15000,8600
165500,126400,174700,93600,197900,149900,90637
-2000,12300,2600,15825,-2800,-6700,200
-14787,-9900,15900,17900,-5300,14500,16900
6400,21600,11700,2900,6000,200,41800
349600,29200,-42500,-37800,87700,48300,208700
60500,44800,6500,31600,48500,47200,58600
124800,25000,43300,138600,55500,19900,76200
29100,-32200,-12900,4600,6700,-12600,-1900
2900,65900,5800,9200,18700,184300,-6500
-64600,54000,72300,-105100,-2300,-166900,148000
25900,2900,-3800,-8000,-10100,1300,300
84000,1300,15500,27500,-2000,11200,67200
17300,41400,11600,11900,6600,18400,6100
700,-4800,-1800,100,-1000,-19300,-100
13813,8200,-200,-1900,900,0,9700
20900,38900,20813,11425,21800,33400,-7700
10600,531800,353500,508100,275300,15600,603400
-26300,458900,392100,770700,4300,-3700,398700
47600,31400,44000,1100,63000,-5100,58100
-34100,362700,50300,236000,613200,35500,299800
-4500,312000,372900,327100,387600,8600,464000
11300,-24700,-56500,87100,67600,-1000,16900
37000,-2800,44300,88200,-13500,72500,-59200
21300,37500,3700,-500,16500,12100,87000
-9600,38700,-2300,-39600,-11600,10000,-7900
27400,17700,-50700,26100,277300,123000,56600
133000,215900,33600,195500,-21000,-95100,46200
10300,8100,20200,5000,1400,600,200
-102200,14225,11800,-85200,9100,-36100,-174600
3800,-12300,17800,-25400,10300,-47100,25900
0,3100,-3000,-1100,0,-400,-100
-53900,8600,-10700,-3500,-23100,-7300,2700
-11500,-61400,48400,-41300,118100,161300,4100
-63300,17000,-700,120900,20200,-29300,14200
-1700,43500,-22200,-8300,61600,5600,32700
-15300,3900,-44500,-32700,2900,-40300,-2700
37200,-37600,33200,27900,-25100,-33200,12400
20500,-31900,-12400,14600,-31900,-4900,-22400
